
lexemeCurrentNode     lineno   token   valueIfNumber   parentNodeSymbol   isLeafNode(yes/no)    NodeSymbol
-----, 15, singleOrRecId, -----, allVar, no, singleOrRecId
c4, 15, TK_ID, -----, singleOrRecId, yes, -----
-----, 15, new_24, -----, singleOrRecId, no, new_24
-----, 15, termPrime, -----, termPrime, no, termPrime
-----, 14, expPrime, -----, expPrime, no, expPrime
(, 14, TK_CL, -----, factor, yes, -----
-----, 14, termPrime, -----, term, no, termPrime
-----, 14, expPrime, -----, arithmeticExpression, no, expPrime
-----, 15, lowPrecedenceOperators, -----, expPrime, no, lowPrecedenceOperators
-, 15, TK_MINUS, -----, lowPrecedenceOperators, yes, -----
-----, 15, term, -----, expPrime, no, term
-----, 15, factor, -----, term, no, factor
(, 15, TK_OP, -----, factor, yes, -----
-----, 15, arithmeticExpression, -----, factor, no, arithmeticExpression
-----, 15, term, -----, arithmeticExpression, no, term
-----, 15, factor, -----, term, no, factor
-----, 15, allVar, -----, factor, no, allVar
-----, 15, singleOrRecId, -----, allVar, no, singleOrRecId
c5, 15, TK_ID, -----, singleOrRecId, yes, -----
-----, 15, new_24, -----, singleOrRecId, no, new_24
-----, 15, termPrime, -----, term, no, termPrime
-----, 15, expPrime, -----, arithmeticExpression, no, expPrime
-----, 15, lowPrecedenceOperators, -----, expPrime, no, lowPrecedenceOperators
-, 15, TK_MINUS, -----, lowPrecedenceOperators, yes, -----
-----, 15, term, -----, expPrime, no, term
-----, 15, factor, -----, term, no, factor
-----, 15, allVar, -----, factor, no, allVar
5, 15, TK_NUM, -----, allVar, yes, -----
-----, 15, termPrime, -----, term, no, termPrime
-----, 15, expPrime, -----, expPrime, no, expPrime
(, 15, TK_CL, -----, factor, yes, -----
-----, 15, termPrime, -----, term, no, termPrime
-----, 15, expPrime, -----, expPrime, no, expPrime
(, 14, TK_CL, -----, factor, yes, -----
-----, 14, termPrime, -----, term, no, termPrime
-----, 15, highPrecedenceOperators, -----, termPrime, no, highPrecedenceOperators
/, 15, TK_DIV, -----, highPrecedenceOperators, yes, -----
-----, 15, factor, -----, termPrime, no, factor
-----, 16, allVar, -----, factor, no, allVar
4, 16, TK_NUM, -----, allVar, yes, -----
-----, 15, termPrime, -----, termPrime, no, termPrime
-----, 14, expPrime, -----, arithmeticExpression, no, expPrime
d4, 13, TK_SEM, -----, assignmentStmt, yes, -----
-----, 13, otherStmts, -----, otherStmts, no, otherStmts
-----, 17, stmt, -----, otherStmts, no, stmt
-----, 17, assignmentStmt, -----, stmt, no, assignmentStmt
-----, 17, singleOrRecId, -----, assignmentStmt, no, singleOrRecId
c4, 17, TK_ID, -----, singleOrRecId, yes, -----
-----, 17, new_24, -----, singleOrRecId, no, new_24
c4, 17, TK_ASSIGNOP, -----, assignmentStmt, yes, -----
-----, 17, arithmeticExpression, -----, assignmentStmt, no, arithmeticExpression
-----, 18, term, -----, arithmeticExpression, no, term
-----, 18, factor, -----, term, no, factor
(, 18, TK_OP, -----, factor, yes, -----
-----, 18, arithmeticExpression, -----, factor, no, arithmeticExpression
-----, 18, term, -----, arithmeticExpression, no, term
-----, 18, factor, -----, term, no, factor
(, 18, TK_OP, -----, factor, yes, -----
-----, 18, arithmeticExpression, -----, factor, no, arithmeticExpression
-----, 18, term, -----, arithmeticExpression, no, term
-----, 18, factor, -----, term, no, factor
-----, 18, allVar, -----, factor, no, allVar
-----, 18, singleOrRecId, -----, allVar, no, singleOrRecId
d4, 18, TK_ID, -----, singleOrRecId, yes, -----
-----, 18, new_24, -----, singleOrRecId, no, new_24
-----, 18, termPrime, -----, term, no, termPrime
-----, 18, expPrime, -----, arithmeticExpression, no, expPrime
-----, 18, lowPrecedenceOperators, -----, expPrime, no, lowPrecedenceOperators
-, 18, TK_MINUS, -----, lowPrecedenceOperators, yes, -----
-----, 18, term, -----, expPrime, no, term
-----, 19, factor, -----, term, no, factor
-----, 19, allVar, -----, factor, no, allVar
2.35), 19, TK_RNUM, -----, allVar, yes, -----
-----, 19, termPrime, -----, term, no, termPrime
-----, 18, expPrime, -----, expPrime, no, expPrime
(, 18, TK_CL, -----, factor, yes, -----
-----, 18, termPrime, -----, term, no, termPrime
-----, 19, highPrecedenceOperators, -----, termPrime, no, highPrecedenceOperators
*, 19, TK_MUL, -----, highPrecedenceOperators, yes, -----
-----, 19, factor, -----, termPrime, no, factor
(, 19, TK_OP, -----, factor, yes, -----
-----, 19, arithmeticExpression, -----, factor, no, arithmeticExpression
-----, 19, term, -----, arithmeticExpression, no, term
-----, 19, factor, -----, term, no, factor
-----, 19, allVar, -----, factor, no, allVar
2345, 19, TK_NUM, -----, allVar, yes, -----
-----, 19, termPrime, -----, term, no, termPrime
-----, 19, expPrime, -----, arithmeticExpression, no, expPrime
-----, 19, lowPrecedenceOperators, -----, expPrime, no, lowPrecedenceOperators
-, 19, TK_MINUS, -----, lowPrecedenceOperators, yes, -----
-----, 19, term, -----, expPrime, no, term
-----, 19, factor, -----, term, no, factor
-----, 19, allVar, -----, factor, no, allVar
234, 19, TK_NUM, -----, allVar, yes, -----
-----, 19, termPrime, -----, term, no, termPrime
-----, 19, highPrecedenceOperators, -----, termPrime, no, highPrecedenceOperators
*, 19, TK_MUL, -----, highPrecedenceOperators, yes, -----
-----, 19, factor, -----, termPrime, no, factor
-----, 19, allVar, -----, factor, no, allVar
8, 19, TK_NUM, -----, allVar, yes, -----
-----, 19, termPrime, -----, termPrime, no, termPrime
-----, 19, expPrime, -----, expPrime, no, expPrime
(, 19, TK_CL, -----, factor, yes, -----
-----, 19, termPrime, -----, termPrime, no, termPrime
-----, 18, expPrime, -----, arithmeticExpression, no, expPrime
(, 18, TK_CL, -----, factor, yes, -----
-----, 18, termPrime, -----, term, no, termPrime
-----, 18, expPrime, -----, arithmeticExpression, no, expPrime
-----, 19, lowPrecedenceOperators, -----, expPrime, no, lowPrecedenceOperators
+, 19, TK_PLUS, -----, lowPrecedenceOperators, yes, -----
-----, 19, term, -----, expPrime, no, term
-----, 19, factor, -----, term, no, factor
-----, 19, allVar, -----, factor, no, allVar
5, 19, TK_NUM, -----, allVar, yes, -----
-----, 19, termPrime, -----, term, no, termPrime
-----, 19, highPrecedenceOperators, -----, termPrime, no, highPrecedenceOperators
*, 19, TK_MUL, -----, highPrecedenceOperators, yes, -----
-----, 19, factor, -----, termPrime, no, factor
-----, 19, allVar, -----, factor, no, allVar
-----, 19, singleOrRecId, -----, allVar, no, singleOrRecId
c3, 19, TK_ID, -----, singleOrRecId, yes, -----
-----, 19, new_24, -----, singleOrRecId, no, new_24
-----, 19, termPrime, -----, termPrime, no, termPrime
-----, 19, expPrime, -----, expPrime, no, expPrime
c4, 17, TK_SEM, -----, assignmentStmt, yes, -----
-----, 17, otherStmts, -----, otherStmts, no, otherStmts
-----, 20, stmt, -----, otherStmts, no, stmt
-----, 20, conditionalStmt, -----, stmt, no, conditionalStmt
if, 20, TK_IF, -----, conditionalStmt, yes, -----
if, 20, TK_OP, -----, conditionalStmt, yes, -----
-----, 20, booleanExpression, -----, conditionalStmt, no, booleanExpression
(, 20, TK_OP, -----, booleanExpression, yes, -----
-----, 20, booleanExpression, -----, booleanExpression, no, booleanExpression
~, 20, TK_NOT, -----, booleanExpression, yes, -----
~, 20, TK_OP, -----, booleanExpression, yes, -----
-----, 20, booleanExpression, -----, booleanExpression, no, booleanExpression
-----, 20, var, -----, booleanExpression, no, var
c4, 20, TK_ID, -----, var, yes, -----
-----, 20, relationalOp, -----, booleanExpression, no, relationalOp
==, 20, TK_EQ, -----, relationalOp, yes, -----
-----, 20, var, -----, booleanExpression, no, var
0, 21, TK_NUM, -----, var, yes, -----
~, 20, TK_CL, -----, booleanExpression, yes, -----
(, 20, TK_CL, -----, booleanExpression, yes, -----
-----, 20, logicalOp, -----, booleanExpression, no, logicalOp
&&&, 22, TK_AND, -----, logicalOp, yes, -----
(, 20, TK_OP, -----, booleanExpression, yes, -----
-----, 20, booleanExpression, -----, booleanExpression, no, booleanExpression
-----, 23, var, -----, booleanExpression, no, var
c4, 23, TK_ID, -----, var, yes, -----
-----, 23, relationalOp, -----, booleanExpression, no, relationalOp
>, 23, TK_GT, -----, relationalOp, yes, -----
-----, 23, var, -----, booleanExpression, no, var
78.56), 24, TK_RNUM, -----, var, yes, -----
(, 20, TK_CL, -----, booleanExpression, yes, -----
if, 20, TK_CL, -----, conditionalStmt, yes, -----
if, 20, TK_THEN, -----, conditionalStmt, yes, -----
-----, 20, stmt, -----, conditionalStmt, no, stmt
-----, 28, assignmentStmt, -----, stmt, no, assignmentStmt
-----, 28, singleOrRecId, -----, assignmentStmt, no, singleOrRecId
c6, 28, TK_ID, -----, singleOrRecId, yes, -----
-----, 28, new_24, -----, singleOrRecId, no, new_24
c6, 28, TK_ASSIGNOP, -----, assignmentStmt, yes, -----
-----, 28, arithmeticExpression, -----, assignmentStmt, no, arithmeticExpression
-----, 29, term, -----, arithmeticExpression, no, term
-----, 29, factor, -----, term, no, factor
-----, 29, allVar, -----, factor, no, allVar
-----, 29, singleOrRecId, -----, allVar, no, singleOrRecId
d4, 29, TK_ID, -----, singleOrRecId, yes, -----
-----, 29, new_24, -----, singleOrRecId, no, new_24
